ModelName,ProductColor,ProductCost,ProductDescription,ProductsKey,ProductName,ProductPrice,ProductSize,ProductSKU,ProductStyle,SubcategoryName,CategoryName
ML Mountain Pedal,Silver/Black,27.568,"Lightweight, durable, clipless pedal with adjustable tension.",543,ML Mountain Pedal,62.09,0,PD-M340,0,Pedals,Components
ML Mountain Rear Wheel,Black,104.7951,Replacement mountain wheel for the casual to serious rider.,420,ML Mountain Rear Wheel,236.025,0,RW-M762,0,Wheels,Components
ML Mountain Seat/Saddle 2,NA,17.3782,Designed to absorb shock.,516,ML Mountain Seat/Saddle,39.14,0,SE-M798,0,Saddles,Components
ML Mountain Tire,NA,11.2163,"Great traction, high-density rubber.",536,ML Mountain Tire,29.99,0,TI-M602,0,Tires and Tubes,Accessories
ML Road Frame,Red,352.1394,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.",274,"ML Road Frame - Red, 44",594.83,44,FR-R72R-44,U,Road Frames,Components
ML Road Frame,Red,352.1394,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.",275,"ML Road Frame - Red, 48",594.83,48,FR-R72R-48,U,Road Frames,Components
ML Road Frame,Red,352.1394,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.",276,"ML Road Frame - Red, 52",594.83,52,FR-R72R-52,U,Road Frames,Components
ML Road Frame,Red,352.1394,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.",277,"ML Road Frame - Red, 58",594.83,58,FR-R72R-58,U,Road Frames,Components
ML Road Frame,Red,352.1394,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.",278,"ML Road Frame - Red, 60",594.83,60,FR-R72R-60,U,Road Frames,Components
ML Road Frame-W,Yellow,300.1188,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Women's version.",417,"ML Road Frame-W - Yellow, 38",540.7545,38,FR-R72Y-38,W,Road Frames,Components
ML Road Frame-W,Yellow,300.1188,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Women's version.",429,"ML Road Frame-W - Yellow, 40",540.7545,40,FR-R72Y-40,W,Road Frames,Components
ML Road Frame-W,Yellow,300.1188,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Women's version.",431,"ML Road Frame-W - Yellow, 42",540.7545,42,FR-R72Y-42,W,Road Frames,Components
ML Road Frame-W,Yellow,300.1188,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Women's version.",433,"ML Road Frame-W - Yellow, 44",540.7545,44,FR-R72Y-44,W,Road Frames,Components
ML Road Frame-W,Yellow,300.1188,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Women's version.",435,"ML Road Frame-W - Yellow, 48",540.7545,48,FR-R72Y-48,W,Road Frames,Components
ML Road Front Wheel,Black,110.2829,Sturdy alloy features a quick-release hub.,414,ML Road Front Wheel,248.385,0,FW-R762,0,Wheels,Components
ML Road Handlebars,NA,24.9932,Anatomically shaped aluminum tube bar will suit all riders.,405,ML Road Handlebars,56.2909,0,HB-R720,0,Handlebars,Components
ML Road Pedal,Silver/Black,27.568,Lightweight aluminum alloy construction.,546,ML Road Pedal,62.09,0,PD-R563,0,Pedals,Components
ML Road Rear Wheel,Black,122.2709,Aluminum alloy rim with stainless steel spokes; built for speed.,423,ML Road Rear Wheel,275.385,0,RW-R762,0,Wheels,Components
ML Road Seat/Saddle 2,NA,17.3782,Rubber bumpers absorb bumps.,519,ML Road Seat/Saddle,39.14,0,SE-R908,0,Saddles,Components
ML Road Tire,NA,9.3463,Higher density rubber.,539,ML Road Tire,24.99,0,TI-R628,0,Tires and Tubes,Accessories
ML Touring Seat/Saddle,NA,17.3782,New design relieves pressure for long rides.,522,ML Touring Seat/Saddle,39.14,0,SE-T762,0,Saddles,Components
Mountain Bike Socks,White,3.3963,Combination of natural and synthetic fibers stays dry and provides just the right cushioning.,218,"Mountain Bike Socks, M",9.5,M,SO-B909-M,U,Socks,Clothing
Mountain Bike Socks,White,3.3963,Combination of natural and synthetic fibers stays dry and provides just the right cushioning.,219,"Mountain Bike Socks, L",9.5,L,SO-B909-L,U,Socks,Clothing
Mountain Bottle Cage,NA,3.7363,Tough aluminum cage holds bottle securly on tough terrain.,478,Mountain Bottle Cage,9.99,0,BC-M005,0,Bottles and Cages,Accessories
Mountain Pump,NA,10.3084,Simple and light-weight. Emergency patches stored in handle.,449,Mountain Pump,24.99,0,PU-M044,0,Pumps,Accessories
Mountain Tire Tube,NA,1.8663,Self-sealing tube.,528,Mountain Tire Tube,4.99,0,TT-M928,0,Tires and Tubes,Accessories
Mountain-100,Black,1898.0944,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",348,"Mountain-100 Black, 38",3374.99,38,BK-M82B-38,U,Mountain Bikes,Bikes
Mountain-100,Black,1898.0944,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",349,"Mountain-100 Black, 42",3374.99,42,BK-M82B-42,U,Mountain Bikes,Bikes
Mountain-100,Black,1898.0944,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",350,"Mountain-100 Black, 44",3374.99,44,BK-M82B-44,U,Mountain Bikes,Bikes
Mountain-100,Black,1898.0944,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",351,"Mountain-100 Black, 48",3374.99,48,BK-M82B-48,U,Mountain Bikes,Bikes
Mountain-100,Silver,1912.1544,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",344,"Mountain-100 Silver, 38",3399.99,38,BK-M82S-38,U,Mountain Bikes,Bikes
Mountain-100,Silver,1912.1544,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",345,"Mountain-100 Silver, 42",3399.99,42,BK-M82S-42,U,Mountain Bikes,Bikes
Mountain-100,Silver,1912.1544,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",346,"Mountain-100 Silver, 44",3399.99,44,BK-M82S-44,U,Mountain Bikes,Bikes
Mountain-100,Silver,1912.1544,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",347,"Mountain-100 Silver, 48",3399.99,48,BK-M82S-48,U,Mountain Bikes,Bikes
Mountain-200,Black,1105.81,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,358,"Mountain-200 Black, 38",2049.0982,38,BK-M68B-38,U,Mountain Bikes,Bikes
Mountain-200,Black,1105.81,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,360,"Mountain-200 Black, 42",2049.0982,42,BK-M68B-42,U,Mountain Bikes,Bikes
Mountain-200,Black,1105.81,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,362,"Mountain-200 Black, 46",2049.0982,46,BK-M68B-46,U,Mountain Bikes,Bikes
Mountain-200,Silver,1117.8559,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,352,"Mountain-200 Silver, 38",2071.4196,38,BK-M68S-38,U,Mountain Bikes,Bikes
Mountain-200,Silver,1117.8559,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,354,"Mountain-200 Silver, 42",2071.4196,42,BK-M68S-42,U,Mountain Bikes,Bikes
Mountain-200,Silver,1117.8559,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,356,"Mountain-200 Silver, 46",2071.4196,46,BK-M68S-46,U,Mountain Bikes,Bikes
Mountain-300,Black,598.4354,For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.,364,"Mountain-300 Black, 38",1079.99,38,BK-M47B-38,U,Mountain Bikes,Bikes
Mountain-300,Black,598.4354,For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.,365,"Mountain-300 Black, 40",1079.99,40,BK-M47B-40,U,Mountain Bikes,Bikes
Mountain-300,Black,598.4354,For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.,366,"Mountain-300 Black, 44",1079.99,44,BK-M47B-44,U,Mountain Bikes,Bikes
Mountain-300,Black,598.4354,For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.,367,"Mountain-300 Black, 48",1079.99,48,BK-M47B-48,U,Mountain Bikes,Bikes
Mountain-400-W,Silver,419.7784,"This bike delivers a high-level of performance on a budget. It is responsive and maneuverable, and offers peace-of-mind when you decide to go off-road.",587,"Mountain-400-W Silver, 38",769.49,38,BK-M38S-38,W,Mountain Bikes,Bikes
Mountain-400-W,Silver,419.7784,"This bike delivers a high-level of performance on a budget. It is responsive and maneuverable, and offers peace-of-mind when you decide to go off-road.",588,"Mountain-400-W Silver, 40",769.49,40,BK-M38S-40,W,Mountain Bikes,Bikes
Mountain-400-W,Silver,419.7784,"This bike delivers a high-level of performance on a budget. It is responsive and maneuverable, and offers peace-of-mind when you decide to go off-road.",589,"Mountain-400-W Silver, 42",769.49,42,BK-M38S-42,W,Mountain Bikes,Bikes
Mountain-400-W,Silver,419.7784,"This bike delivers a high-level of performance on a budget. It is responsive and maneuverable, and offers peace-of-mind when you decide to go off-road.",590,"Mountain-400-W Silver, 46",769.49,46,BK-M38S-46,W,Mountain Bikes,Bikes
Mountain-500,Black,294.5797,"Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.",596,"Mountain-500 Black, 40",539.99,40,BK-M18B-40,U,Mountain Bikes,Bikes
Mountain-500,Black,294.5797,"Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.",597,"Mountain-500 Black, 42",539.99,42,BK-M18B-42,U,Mountain Bikes,Bikes
Mountain-500,Black,294.5797,"Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.",598,"Mountain-500 Black, 44",539.99,44,BK-M18B-44,U,Mountain Bikes,Bikes
Mountain-500,Black,294.5797,"Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.",599,"Mountain-500 Black, 48",539.99,48,BK-M18B-48,U,Mountain Bikes,Bikes
Mountain-500,Black,294.5797,"Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.",600,"Mountain-500 Black, 52",539.99,52,BK-M18B-52,U,Mountain Bikes,Bikes
Mountain-500,Silver,308.2179,"Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.",591,"Mountain-500 Silver, 40",564.99,40,BK-M18S-40,U,Mountain Bikes,Bikes
Mountain-500,Silver,308.2179,"Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.",592,"Mountain-500 Silver, 42",564.99,42,BK-M18S-42,U,Mountain Bikes,Bikes
Mountain-500,Silver,308.2179,"Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.",593,"Mountain-500 Silver, 44",564.99,44,BK-M18S-44,U,Mountain Bikes,Bikes
Mountain-500,Silver,308.2179,"Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.",594,"Mountain-500 Silver, 48",564.99,48,BK-M18S-48,U,Mountain Bikes,Bikes
Mountain-500,Silver,308.2179,"Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.",595,"Mountain-500 Silver, 52",564.99,52,BK-M18S-52,U,Mountain Bikes,Bikes
Patch kit,NA,0.8565,"Includes 8 different size patches, glue and sandpaper.",480,Patch Kit/8 Patches,2.29,0,PK-7098,0,Tires and Tubes,Accessories
Racing Socks,White,3.3623,"Thin, lightweight and durable with cuffs that stay up.",481,"Racing Socks, M",8.99,M,SO-R809-M,U,Socks,Clothing
Racing Socks,White,3.3623,"Thin, lightweight and durable with cuffs that stay up.",482,"Racing Socks, L",8.99,L,SO-R809-L,U,Socks,Clothing
Rear Brakes,Silver,47.286,0,514,Rear Brakes,106.5,0,RB-9231,0,Brakes,Components
Rear Derailleur,Silver,53.9282,Wide-link design.,501,Rear Derailleur,121.46,0,RD-2308,0,Derailleurs,Components
Road Bottle Cage,NA,3.3623,Aluminum cage is lighter than our mountain version; perfect for long distance trips.,479,Road Bottle Cage,8.99,0,BC-R205,0,Bottles and Cages,Accessories
Road Tire Tube,NA,1.4923,Conventional all-purpose tube.,529,Road Tire Tube,3.99,0,TT-R982,0,Tires and Tubes,Accessories
Road-150,Red,2171.2942,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.",310,"Road-150 Red, 62",3578.27,62,BK-R93R-62,U,Road Bikes,Bikes
Road-150,Red,2171.2942,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.",311,"Road-150 Red, 44",3578.27,44,BK-R93R-44,U,Road Bikes,Bikes
Road-150,Red,2171.2942,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.",312,"Road-150 Red, 48",3578.27,48,BK-R93R-48,U,Road Bikes,Bikes
Road-150,Red,2171.2942,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.",313,"Road-150 Red, 52",3578.27,52,BK-R93R-52,U,Road Bikes,Bikes
Road-150,Red,2171.2942,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.",314,"Road-150 Red, 56",3578.27,56,BK-R93R-56,U,Road Bikes,Bikes
Road-250,Black,1320.6838,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",373,"Road-250 Black, 44",2181.5625,44,BK-R89B-44,U,Road Bikes,Bikes
Road-250,Black,1320.6838,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",375,"Road-250 Black, 48",2181.5625,48,BK-R89B-48,U,Road Bikes,Bikes
Road-250,Black,1320.6838,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",377,"Road-250 Black, 52",2181.5625,52,BK-R89B-52,U,Road Bikes,Bikes
Road-250,Black,1320.6838,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",379,"Road-250 Black, 58",2181.5625,58,BK-R89B-58,U,Road Bikes,Bikes
Road-250,Red,1518.7864,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",368,"Road-250 Red, 44",2443.35,44,BK-R89R-44,U,Road Bikes,Bikes
Road-250,Red,1518.7864,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",369,"Road-250 Red, 48",2443.35,48,BK-R89R-48,U,Road Bikes,Bikes
Road-250,Red,1518.7864,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",370,"Road-250 Red, 52",2443.35,52,BK-R89R-52,U,Road Bikes,Bikes
Road-250,Red,1320.6838,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",371,"Road-250 Red, 58",2181.5625,58,BK-R89R-58,U,Road Bikes,Bikes
Road-350-W,Yellow,1082.51,"Cross-train, race, or just socialize on a sleek, aerodynamic bike designed for a woman.  Advanced seat technology provides comfort all day.",580,"Road-350-W Yellow, 40",1700.99,40,BK-R79Y-40,W,Road Bikes,Bikes
Road-350-W,Yellow,1082.51,"Cross-train, race, or just socialize on a sleek, aerodynamic bike designed for a woman.  Advanced seat technology provides comfort all day.",581,"Road-350-W Yellow, 42",1700.99,42,BK-R79Y-42,W,Road Bikes,Bikes
Road-350-W,Yellow,1082.51,"Cross-train, race, or just socialize on a sleek, aerodynamic bike designed for a woman.  Advanced seat technology provides comfort all day.",582,"Road-350-W Yellow, 44",1700.99,44,BK-R79Y-44,W,Road Bikes,Bikes
Road-350-W,Yellow,1082.51,"Cross-train, race, or just socialize on a sleek, aerodynamic bike designed for a woman.  Advanced seat technology provides comfort all day.",583,"Road-350-W Yellow, 48",1700.99,48,BK-R79Y-48,W,Road Bikes,Bikes
Road-450,Red,884.7083,"A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.",315,"Road-450 Red, 58",1457.99,58,BK-R68R-58,U,Road Bikes,Bikes
Road-450,Red,884.7083,"A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.",316,"Road-450 Red, 60",1457.99,60,BK-R68R-60,U,Road Bikes,Bikes
Road-450,Red,884.7083,"A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.",317,"Road-450 Red, 44",1457.99,44,BK-R68R-44,U,Road Bikes,Bikes
Road-450,Red,884.7083,"A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.",318,"Road-450 Red, 48",1457.99,48,BK-R68R-48,U,Road Bikes,Bikes
Road-450,Red,884.7083,"A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.",319,"Road-450 Red, 52",1457.99,52,BK-R68R-52,U,Road Bikes,Bikes
Road-550-W,Yellow,605.6492,"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.",381,"Road-550-W Yellow, 38",1000.4375,38,BK-R64Y-38,W,Road Bikes,Bikes
Road-550-W,Yellow,605.6492,"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.",383,"Road-550-W Yellow, 40",1000.4375,40,BK-R64Y-40,W,Road Bikes,Bikes
Road-550-W,Yellow,605.6492,"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.",385,"Road-550-W Yellow, 42",1000.4375,42,BK-R64Y-42,W,Road Bikes,Bikes
Road-550-W,Yellow,605.6492,"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.",387,"Road-550-W Yellow, 44",1000.4375,44,BK-R64Y-44,W,Road Bikes,Bikes
Road-550-W,Yellow,605.6492,"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.",389,"Road-550-W Yellow, 48",1000.4375,48,BK-R64Y-48,W,Road Bikes,Bikes
Road-650,Black,413.1463,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",332,"Road-650 Black, 58",699.0982,58,BK-R50B-58,U,Road Bikes,Bikes
Road-650,Black,413.1463,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",334,"Road-650 Black, 60",699.0982,60,BK-R50B-60,U,Road Bikes,Bikes
Road-650,Black,413.1463,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",336,"Road-650 Black, 62",699.0982,62,BK-R50B-62,U,Road Bikes,Bikes
Road-650,Black,413.1463,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",338,"Road-650 Black, 44",699.0982,44,BK-R50B-44,U,Road Bikes,Bikes
Road-650,Black,413.1463,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",340,"Road-650 Black, 48",699.0982,48,BK-R50B-48,U,Road Bikes,Bikes
Road-650,Black,413.1463,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",342,"Road-650 Black, 52",699.0982,52,BK-R50B-52,U,Road Bikes,Bikes
Road-650,Red,413.1463,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",320,"Road-650 Red, 58",699.0982,58,BK-R50R-58,U,Road Bikes,Bikes
Road-650,Red,413.1463,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",322,"Road-650 Red, 60",699.0982,60,BK-R50R-60,U,Road Bikes,Bikes
Road-650,Red,413.1463,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",324,"Road-650 Red, 62",699.0982,62,BK-R50R-62,U,Road Bikes,Bikes
Road-650,Red,413.1463,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",326,"Road-650 Red, 44",699.0982,44,BK-R50R-44,U,Road Bikes,Bikes
Road-650,Red,413.1463,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",328,"Road-650 Red, 48",699.0982,48,BK-R50R-48,U,Road Bikes,Bikes
Road-650,Red,413.1463,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",330,"Road-650 Red, 52",699.0982,52,BK-R50R-52,U,Road Bikes,Bikes
Road-750,Black,343.6496,Entry level adult bike; offers a comfortable ride cross-country or down the block. Quick-release hubs and rims.,584,"Road-750 Black, 58",539.99,58,BK-R19B-58,U,Road Bikes,Bikes
Road-750,Black,343.6496,Entry level adult bike; offers a comfortable ride cross-country or down the block. Quick-release hubs and rims.,604,"Road-750 Black, 44",539.99,44,BK-R19B-44,U,Road Bikes,Bikes
Road-750,Black,343.6496,Entry level adult bike; offers a comfortable ride cross-country or down the block. Quick-release hubs and rims.,605,"Road-750 Black, 48",539.99,48,BK-R19B-48,U,Road Bikes,Bikes
Road-750,Black,343.6496,Entry level adult bike; offers a comfortable ride cross-country or down the block. Quick-release hubs and rims.,606,"Road-750 Black, 52",539.99,52,BK-R19B-52,U,Road Bikes,Bikes
Short-Sleeve Classic Jersey,Yellow,41.5723,"Short sleeve classic breathable jersey with superior moisture control, front zipper, and 3 back pockets.",488,"Short-Sleeve Classic Jersey, S",53.99,S,SJ-0194-S,U,Jerseys,Clothing
Short-Sleeve Classic Jersey,Yellow,41.5723,"Short sleeve classic breathable jersey with superior moisture control, front zipper, and 3 back pockets.",489,"Short-Sleeve Classic Jersey, M",53.99,M,SJ-0194-M,U,Jerseys,Clothing
Short-Sleeve Classic Jersey,Yellow,41.5723,"Short sleeve classic breathable jersey with superior moisture control, front zipper, and 3 back pockets.",490,"Short-Sleeve Classic Jersey, L",53.99,L,SJ-0194-L,U,Jerseys,Clothing
Short-Sleeve Classic Jersey,Yellow,41.5723,"Short sleeve classic breathable jersey with superior moisture control, front zipper, and 3 back pockets.",491,"Short-Sleeve Classic Jersey, XL",53.99,XL,SJ-0194-X,U,Jerseys,Clothing
Sport-100,Black,12.0278,"Universal fit, well-vented, lightweight , snap-on visor.",215,"Sport-100 Helmet, Black",33.6442,0,HL-U509,0,Helmets,Accessories
Sport-100,Blue,12.0278,"Universal fit, well-vented, lightweight , snap-on visor.",220,"Sport-100 Helmet, Blue",33.6442,0,HL-U509-B,0,Helmets,Accessories
Sport-100,Red,13.0863,"Universal fit, well-vented, lightweight , snap-on visor.",214,"Sport-100 Helmet, Red",34.99,0,HL-U509-R,0,Helmets,Accessories
Taillight,NA,5.7709,Affordable light for safe night riding - uses 3 AAA batteries,450,Taillights - Battery-Powered,13.99,0,LT-T990,0,Lights,Accessories
Touring Front Wheel,Black,96.7964,Aerodynamic rims for smooth riding.,416,Touring Front Wheel,218.01,0,FW-T905,0,Wheels,Components
Touring Pedal,Silver/Black,35.9596,A stable pedal for all-day riding.,548,Touring Pedal,80.99,0,PD-T852,0,Pedals,Components
Touring Rear Wheel,Black,108.7844,Excellent aerodynamic rims guarantee a smooth ride.,425,Touring Rear Wheel,245.01,0,RW-T905,0,Wheels,Components
Touring Tire,NA,10.8423,High-density rubber.,541,Touring Tire,28.99,0,TI-T723,0,Tires and Tubes,Accessories
Touring Tire Tube,NA,1.8663,General purpose tube.,530,Touring Tire Tube,4.99,0,TT-T092,0,Tires and Tubes,Accessories
Touring-1000,Blue,1481.9379,Travel in style and comfort. Designed for maximum comfort and safety. Wide gear range takes on all hills. High-tech aluminum alloy construction provides durability without added weight.,573,"Touring-1000 Blue, 46",2384.07,46,BK-T79U-46,U,Touring Bikes,Bikes
Touring-1000,Blue,1481.9379,Travel in style and comfort. Designed for maximum comfort and safety. Wide gear range takes on all hills. High-tech aluminum alloy construction provides durability without added weight.,574,"Touring-1000 Blue, 50",2384.07,50,BK-T79U-50,U,Touring Bikes,Bikes
Touring-1000,Blue,1481.9379,Travel in style and comfort. Designed for maximum comfort and safety. Wide gear range takes on all hills. High-tech aluminum alloy construction provides durability without added weight.,575,"Touring-1000 Blue, 54",2384.07,54,BK-T79U-54,U,Touring Bikes,Bikes
Touring-1000,Blue,1481.9379,Travel in style and comfort. Designed for maximum comfort and safety. Wide gear range takes on all hills. High-tech aluminum alloy construction provides durability without added weight.,576,"Touring-1000 Blue, 60",2384.07,60,BK-T79U-60,U,Touring Bikes,Bikes
Touring-1000,Yellow,1481.9379,Travel in style and comfort. Designed for maximum comfort and safety. Wide gear range takes on all hills. High-tech aluminum alloy construction provides durability without added weight.,561,"Touring-1000 Yellow, 46",2384.07,46,BK-T79Y-46,U,Touring Bikes,Bikes
Touring-1000,Yellow,1481.9379,Travel in style and comfort. Designed for maximum comfort and safety. Wide gear range takes on all hills. High-tech aluminum alloy construction provides durability without added weight.,562,"Touring-1000 Yellow, 50",2384.07,50,BK-T79Y-50,U,Touring Bikes,Bikes
Touring-1000,Yellow,1481.9379,Travel in style and comfort. Designed for maximum comfort and safety. Wide gear range takes on all hills. High-tech aluminum alloy construction provides durability without added weight.,563,"Touring-1000 Yellow, 54",2384.07,54,BK-T79Y-54,U,Touring Bikes,Bikes
Touring-1000,Yellow,1481.9379,Travel in style and comfort. Designed for maximum comfort and safety. Wide gear range takes on all hills. High-tech aluminum alloy construction provides durability without added weight.,564,"Touring-1000 Yellow, 60",2384.07,60,BK-T79Y-60,U,Touring Bikes,Bikes
Touring-2000,Blue,755.1508,"The plush custom saddle keeps you riding all day,  and there's plenty of space to add panniers and bike bags to the newly-redesigned carrier.  This bike has stability when fully-loaded.",560,"Touring-2000 Blue, 60",1214.85,60,BK-T44U-60,U,Touring Bikes,Bikes
Touring-2000,Blue,755.1508,"The plush custom saddle keeps you riding all day,  and there's plenty of space to add panniers and bike bags to the newly-redesigned carrier.  This bike has stability when fully-loaded.",577,"Touring-2000 Blue, 46",1214.85,46,BK-T44U-46,U,Touring Bikes,Bikes
Touring-2000,Blue,755.1508,"The plush custom saddle keeps you riding all day,  and there's plenty of space to add panniers and bike bags to the newly-redesigned carrier.  This bike has stability when fully-loaded.",578,"Touring-2000 Blue, 50",1214.85,50,BK-T44U-50,U,Touring Bikes,Bikes
